,DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
78,2019-12-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,20,1,Good
79,2019-12-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,33,1,Good
80,2019-12-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,11,1,Good
81,2018-10-14 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,16,1,Good
82,2019-01-13 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,33,1,Good
83,2019-01-13 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,37,1,Good
84,2019-01-13 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,12,1,Good
85,2019-10-16 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,44,1,Good
86,2019-10-16 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,21,1,Good
87,2019-10-16 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,19,1,Good
88,2018-11-08 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,22,1,Good
89,2018-11-08 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,44,1,Good
90,2018-01-15 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,32,1,Good
91,2018-01-15 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,45,1,Good
92,2018-01-15 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,10,1,Good
93,2019-10-26 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,32,1,Good
94,2019-10-26 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,28,1,Good
95,2019-10-26 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,13,1,Good
96,2018-06-10 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,34,1,Good
97,2018-06-10 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,30,1,Good
98,2018-07-22 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,32,1,Good
99,2018-07-22 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,26,1,Good
100,2018-07-30 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,41,1,Good
101,2018-07-30 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,36,1,Good
102,2018-06-20 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,101,3,Unhealthy for Sensitive Groups
103,2018-06-20 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,27,1,Good
104,2019-01-16 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,33,1,Good
105,2019-01-16 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,58,2,Moderate
106,2019-01-16 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,23,1,Good
107,2018-02-25 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,28,1,Good
108,2018-02-25 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,31,1,Good
109,2018-11-11 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,31,1,Good
110,2018-11-11 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,29,1,Good
111,2018-10-25 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,29,1,Good
112,2018-10-25 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,17,1,Good
113,2018-11-22 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,31,1,Good
114,2018-11-22 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,24,1,Good
115,2018-11-22 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,7,1,Good
116,2018-05-15 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,54,2,Moderate
117,2018-05-15 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,50,1,Good
118,2018-07-08 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,58,2,Moderate
119,2018-07-08 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,21,1,Good
120,2018-11-17 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,27,1,Good
121,2018-11-17 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,46,1,Good
122,2018-11-17 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,15,1,Good
123,2019-07-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,90,2,Moderate
124,2019-07-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,46,1,Good
125,2019-07-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,18,1,Good
126,2018-08-03 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,31,1,Good
127,2018-08-03 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,27,1,Good
128,2018-05-14 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,32,1,Good
129,2018-05-14 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,36,1,Good
130,2018-07-25 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,27,1,Good
131,2018-07-25 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,15,1,Good
132,2019-09-25 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,39,1,Good
133,2019-09-25 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,24,1,Good
134,2019-09-25 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,15,1,Good
135,2019-10-01 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,44,1,Good
136,2019-10-01 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,27,1,Good
137,2019-10-01 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,21,1,Good
138,2019-12-15 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,28,1,Good
139,2019-12-15 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,37,1,Good
140,2019-12-15 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,9,1,Good
141,2018-04-07 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,43,1,Good
142,2018-04-07 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,16,1,Good
143,2018-05-05 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,54,2,Moderate
144,2018-05-05 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,21,1,Good
145,2018-03-21 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,39,1,Good
146,2018-03-21 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,27,1,Good
147,2018-04-23 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,54,2,Moderate
148,2018-04-23 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,53,2,Moderate
149,2019-11-25 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,26,1,Good
150,2019-11-25 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,58,2,Moderate
151,2019-11-25 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,25,1,Good
152,2018-03-22 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,44,1,Good
153,2018-03-22 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,26,1,Good
154,2019-07-06 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,49,1,Good
155,2019-07-06 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,42,1,Good
156,2019-07-06 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,17,1,Good
157,2019-01-23 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,29,1,Good
158,2019-01-23 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,49,1,Good
159,2019-01-23 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,18,1,Good
160,2019-11-05 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,26,1,Good
161,2019-11-05 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,41,1,Good
162,2019-11-05 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,18,1,Good
163,2019-11-17 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,31,1,Good
164,2019-11-17 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,19,1,Good
165,2019-11-17 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,11,1,Good
166,2019-09-08 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,37,1,Good
167,2019-09-08 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,35,1,Good
168,2019-09-08 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,11,1,Good
