date,parameter,units,value_min,value_mean,value_max,value_std
06/20/19,PM10,UG/M3,5.0,14.291666666666666,29.0,7.12301332587408
06/20/19,PM2.5,UG/M3,-2.9,4.158857142857145,19.4,4.774118304244546
06/21/18,OZONE,PPB,12.0,38.95,79.0,15.581636465980818
06/21/18,PM2.5,UG/M3,-1.4,6.258288770053468,18.9,3.0154036913056728
06/21/19,OZONE,PPB,6.0,21.652173913043477,38.0,8.450245535862749
06/21/19,PM10,UG/M3,7.0,11.333333333333334,16.0,2.5650945684180018
06/21/19,PM2.5,UG/M3,-3.6,2.5532608695652184,11.9,2.9230738775001615
06/22/18,OZONE,PPB,22.0,39.12931034482759,67.0,8.375461230558454
06/22/18,PM2.5,UG/M3,-2.7,5.687894736842102,18.2,4.570854387325293
06/22/19,OZONE,PPB,20.0,24.805555555555557,30.0,2.2619877142472107
06/22/19,PM10,UG/M3,7.0,9.458333333333334,11.0,1.141287094417552
06/22/19,PM2.5,UG/M3,-4.4,1.4436170212765955,7.0,1.9933342669010061
06/23/18,OZONE,PPB,20.0,30.6218487394958,40.0,4.25658332914361
06/23/18,PM2.5,UG/M3,-2.8,2.676470588235295,22.1,3.0112838602552103
06/23/19,OZONE,PPB,22.0,29.375,44.0,6.774927887979617
06/23/19,PM10,UG/M3,8.0,9.25,11.0,0.9890707100936811
06/23/19,PM2.5,UG/M3,-4.7,1.9550264550264542,8.5,1.9948440520124882
06/24/18,OZONE,PPB,4.0,26.15,56.0,14.182276784420614
06/24/18,PM2.5,UG/M3,0.1,7.947643979057591,33.0,4.183775957440319
06/24/19,OZONE,PPB,5.0,34.656716417910445,69.0,17.289471519348496
06/24/19,PM10,UG/M3,10.0,14.958333333333334,21.0,3.5689380550213685
06/24/19,PM2.5,UG/M3,-2.5,6.512105263157895,23.1,3.744514264735566
06/25/18,OZONE,PPB,14.0,29.486725663716815,43.0,6.93479199946569
06/25/18,PM2.5,UG/M3,-3.3,3.1181818181818173,12.3,3.0072655584113996
06/25/19,OZONE,PPB,4.0,27.930555555555557,56.0,14.17628091327487
06/25/19,PM10,UG/M3,12.0,21.416666666666668,43.0,7.276625272907683
06/25/19,PM2.5,UG/M3,-1.1,10.357446808510637,26.9,5.301165029086035
06/26/18,OZONE,PPB,0.0,26.291666666666668,45.0,9.853887031819188
06/26/18,PM2.5,UG/M3,-2.5,3.748691099476439,15.5,2.8607849242866243
06/26/19,OZONE,PPB,7.0,40.077922077922075,77.0,20.253502772922904
06/26/19,PM10,UG/M3,11.0,18.083333333333332,30.0,6.4397992587311
06/26/19,PM2.5,UG/M3,-4.3,7.376063829787236,18.5,4.718414425534401
06/27/18,OZONE,PPB,3.0,29.53846153846154,41.0,6.876419554433408
06/27/18,PM2.5,UG/M3,-4.4,1.8533707865168538,7.8,2.209101585835943
06/27/19,OZONE,PPB,5.0,42.96875,77.0,16.67172401339907
06/27/19,PM10,UG/M3,9.0,15.590909090909092,30.0,5.359984816157342
06/27/19,PM2.5,UG/M3,-3.6,6.040740740740743,14.2,3.840404106823097
06/28/18,OZONE,PPB,8.0,31.576271186440678,54.0,10.069338055855223
06/28/18,PM2.5,UG/M3,-4.1,5.0449197860962505,25.8,4.128137564519338
06/28/19,OZONE,PPB,5.0,42.4375,104.0,27.627146260993285
06/28/19,PM10,UG/M3,11.0,17.833333333333332,25.0,4.565148377670205
06/28/19,PM2.5,UG/M3,-3.2,6.9884210526315815,16.8,3.8065069089956594
06/29/18,OZONE,PPB,1.0,33.05172413793103,99.0,20.32383258429725
06/29/18,PM2.5,UG/M3,-4.5,6.388770053475935,27.3,4.363636651141386
06/29/19,OZONE,PPB,30.0,50.40625,82.0,11.82555495526531
06/29/19,PM10,UG/M3,15.0,21.375,32.0,4.381904489662198
06/29/19,PM2.5,UG/M3,-0.3,11.028947368421052,29.7,5.700928537325429
06/30/18,OZONE,PPB,1.0,47.67226890756302,111.0,23.03869598317235
06/30/18,PM2.5,UG/M3,-2.0,8.948437500000004,32.6,3.7775858182011373
06/30/19,OZONE,PPB,25.0,34.510416666666664,47.0,4.4224184659210275
06/30/19,PM10,UG/M3,9.0,14.041666666666666,18.0,2.6123314036160954
06/30/19,PM2.5,UG/M3,-3.6,4.006382978723402,13.3,2.74733934529599
07/01/18,OZONE,PPB,13.0,50.458333333333336,113.0,23.10076423245018
07/01/18,PM2.5,UG/M3,-0.2,17.727604166666676,34.1,4.314825106061519
07/01/19,OZONE,PPB,9.0,26.261363636363637,53.0,13.043247531389541
07/01/19,PM10,UG/M3,7.0,10.041666666666666,13.0,2.2932636069615926
07/01/19,PM2.5,UG/M3,-3.0,1.9058510638297872,10.2,2.303547094882392
07/02/18,OZONE,PPB,2.0,49.54237288135593,108.0,27.546586512839365
07/02/18,PM2.5,UG/M3,9.3,21.15989583333332,39.0,5.900138075372831
07/02/19,OZONE,PPB,5.0,36.41935483870968,78.0,18.80814034022246
07/02/19,PM10,UG/M3,11.0,16.291666666666668,23.0,3.223273608247241
07/02/19,PM2.5,UG/M3,0.3,6.410215053763439,30.6,3.842543211452575
07/03/18,OZONE,PPB,1.0,28.791304347826088,86.0,19.380083669081387
07/03/18,PM2.5,UG/M3,-4.1,19.37391304347826,54.8,9.213536840277534
07/03/19,OZONE,PPB,4.0,39.90625,91.0,17.90682206076191
07/03/19,PM10,UG/M3,14.0,19.5,29.0,4.596785266097242
07/03/19,PM2.5,UG/M3,1.3,11.104188481675394,20.9,3.6470439718638907
07/04/18,OZONE,PPB,1.0,27.672268907563026,77.0,17.26371193843252
07/04/18,PM2.5,UG/M3,-0.4,12.90425531914894,32.0,6.240456498001366
07/04/19,OZONE,PPB,1.0,47.958333333333336,85.0,23.656273972154057
07/04/19,PM10,UG/M3,15.0,31.958333333333332,50.0,11.315549773063026
07/04/19,PM2.5,UG/M3,-1.4,16.246327683615824,36.1,8.232419323305916
07/05/18,OZONE,PPB,3.0,15.025,41.0,9.294854906403458
07/05/18,PM2.5,UG/M3,-3.9,7.545212765957445,75.8,11.382857382945547
07/05/19,OZONE,PPB,28.0,46.708333333333336,67.0,8.211566510806785
07/05/19,PM10,UG/M3,17.0,26.75,69.0,12.466476786897767
07/05/19,PM2.5,UG/M3,-3.7,13.495953757225438,87.7,13.409951001339055
07/06/18,OZONE,PPB,6.0,17.893805309734514,34.0,8.23902173442507
07/06/18,PM2.5,UG/M3,-1.7,3.274999999999999,44.7,4.51246527489607
07/06/19,OZONE,PPB,13.0,36.8125,63.0,12.700031081603072
07/06/19,PM10,UG/M3,11.0,19.208333333333332,26.0,4.190871722816321
07/06/19,PM2.5,UG/M3,-3.4,6.889189189189187,44.6,5.057505388238001
07/07/18,OZONE,PPB,21.0,31.56779661016949,48.0,7.871270723071709
07/07/18,PM2.5,UG/M3,-4.4,0.7096590909090905,10.2,2.1370655174734408
07/07/19,OZONE,PPB,20.0,31.054347826086957,43.0,5.485974385158082
07/07/19,PM10,UG/M3,11.0,19.130434782608695,27.0,6.210726409176648
07/07/19,PM2.5,UG/M3,-0.8,6.774594594594601,19.0,3.8748286039195627
07/08/18,OZONE,PPB,1.0,34.825,64.0,15.75423779188829
07/08/18,PM2.5,UG/M3,-1.7,3.9901041666666672,12.3,2.373270875559374
07/08/19,OZONE,PPB,2.0,19.967741935483872,47.0,10.332990236955938
07/08/19,PM10,UG/M3,15.0,21.791666666666668,34.0,4.78202400905604
07/08/19,PM2.5,UG/M3,-4.5,5.935602094240839,31.3,3.783856224151258
07/09/18,OZONE,PPB,5.0,40.62931034482759,97.0,23.44819643473628
07/09/18,PM2.5,UG/M3,-0.1,5.1348958333333306,12.9,3.0492949986992888
07/09/19,OZONE,PPB,2.0,33.03225806451613,79.0,21.544923548606242
07/09/19,PM10,UG/M3,12.0,18.416666666666668,24.0,3.658422880287965
07/09/19,PM2.5,UG/M3,-4.4,8.163636363636359,17.9,4.268988401786138
07/10/18,OZONE,PPB,10.0,52.141666666666666,98.0,22.89629371986747
07/10/18,PM2.5,UG/M3,2.5,8.652604166666665,17.7,3.0922963712637963
07/10/19,OZONE,PPB,0.0,35.145833333333336,81.0,25.70643137495143
07/10/19,PM10,UG/M3,14.0,25.25,32.0,3.948031980840471
07/10/19,PM2.5,UG/M3,-0.4,13.068421052631574,23.0,4.123741126692815
07/11/18,OZONE,PPB,18.0,41.64102564102564,74.0,10.625653357973782
07/11/18,PM2.5,UG/M3,-1.3,10.650785340314133,23.7,3.596809538143311
07/11/19,OZONE,PPB,16.0,35.989583333333336,61.0,11.174684539681804
07/11/19,PM10,UG/M3,12.0,24.583333333333332,37.0,6.781795752099029
07/11/19,PM2.5,UG/M3,-2.6,8.341052631578949,21.8,5.371677533231567
07/12/18,OZONE,PPB,4.0,37.504273504273506,70.0,17.219988351363718
07/12/18,PM2.5,UG/M3,-0.9,7.608900523560211,19.4,3.948893828529671
07/12/19,OZONE,PPB,12.0,30.580645161290324,54.0,11.816828991118115
07/12/19,PM10,UG/M3,9.0,14.25,19.0,2.8779521704941824
07/12/19,PM2.5,UG/M3,-4.9,3.3832402234636865,14.6,4.017776315403855
07/13/18,OZONE,PPB,1.0,32.23728813559322,71.0,20.278689907827047
07/13/18,PM2.5,UG/M3,1.8,8.452083333333334,23.7,3.3277188755189586
07/13/19,OZONE,PPB,19.0,36.0,61.0,12.98176859250979
07/13/19,PM10,UG/M3,12.0,14.833333333333334,19.0,1.6061476099435992
07/13/19,PM2.5,UG/M3,-4.2,5.749479166666667,12.3,2.8528666100698894
07/14/18,OZONE,PPB,18.0,42.075,74.0,15.651757760980178
07/14/18,PM2.5,UG/M3,0.5,6.997395833333332,14.3,2.468427544828148
07/14/19,OZONE,PPB,20.0,41.04347826086956,65.0,9.353747610565485
07/14/19,PM10,UG/M3,12.0,16.73913043478261,21.0,2.397297556233379
07/14/19,PM2.5,UG/M3,-1.7,8.013586956521733,23.4,4.396444187029446
07/15/18,OZONE,PPB,13.0,40.208333333333336,69.0,13.202301704934763
07/15/18,PM2.5,UG/M3,-3.2,7.593717277486907,24.5,4.308224973804229
07/15/19,OZONE,PPB,10.0,29.404255319148938,58.0,12.15342701254115
07/15/19,PM10,UG/M3,9.0,12.0,15.0,1.6151457061744967
07/15/19,PM2.5,UG/M3,-4.1,2.9101190476190477,14.0,2.482119045453437
07/16/18,OZONE,PPB,11.0,44.53846153846154,92.0,22.37013806222655
07/16/18,PM2.5,UG/M3,-3.9,13.028571428571427,29.0,5.447811250072215
07/16/19,OZONE,PPB,3.0,37.510416666666664,84.0,26.141716929748295
07/16/19,PM10,UG/M3,13.0,22.25,48.0,7.990483470163524
07/16/19,PM2.5,UG/M3,0.3,8.446774193548388,21.8,4.0928963276310615
07/17/18,OZONE,PPB,9.0,35.41525423728814,68.0,12.542117946518584
07/17/18,PM2.5,UG/M3,-4.7,11.262777777777771,25.0,6.3164945953184946
07/17/19,OZONE,PPB,9.0,44.6875,88.0,20.42872719326493
07/17/19,PM10,UG/M3,15.0,29.130434782608695,41.0,8.05269208416487
07/17/19,PM2.5,UG/M3,1.0,14.320634920634927,30.4,5.104852470313679
07/18/18,OZONE,PPB,4.0,26.504273504273506,51.0,8.55572396785951
07/18/18,PM2.5,UG/M3,-4.2,3.435135135135134,11.0,2.597805953046288
07/18/19,OZONE,PPB,2.0,22.677777777777777,45.0,10.087067900359692
07/18/19,PM10,UG/M3,8.0,13.636363636363637,24.0,3.9345291307244734
07/18/19,PM2.5,UG/M3,-4.7,4.532530120481928,22.0,5.846783284149885
07/19/18,OZONE,PPB,4.0,34.567796610169495,69.0,17.081743547569893
07/19/18,PM2.5,UG/M3,0.1,3.9281249999999996,13.6,2.242110221660232
07/19/19,OZONE,PPB,0.0,32.229166666666664,83.0,21.728699995829754
07/19/19,PM10,UG/M3,10.0,21.416666666666668,37.0,7.626707459098367
07/19/19,PM2.5,UG/M3,-1.9,7.408602150537639,21.1,5.08480844814962
07/20/18,OZONE,PPB,1.0,33.675,58.0,14.81491554782124
07/20/18,PM2.5,UG/M3,-1.7,5.701587301587301,23.0,3.5567059256480604
07/20/19,OZONE,PPB,13.0,42.791666666666664,74.0,13.359732637307934
07/20/19,PM10,UG/M3,15.0,20.208333333333332,25.0,3.322900339562814
07/20/19,PM2.5,UG/M3,0.8,12.505208333333329,26.4,4.407463203878479
07/21/18,OZONE,PPB,15.0,34.791666666666664,43.0,5.96050845687059
07/21/18,PM2.5,UG/M3,-2.1,2.382446808510639,7.4,1.9065775177999271
07/21/19,OZONE,PPB,8.0,41.03125,64.0,9.959341687185214
07/21/19,PM10,UG/M3,16.0,18.916666666666668,22.0,1.7672544824662635
07/21/19,PM2.5,UG/M3,1.8,12.040625000000004,23.5,3.795411341516081
07/22/18,OZONE,PPB,17.0,27.05,37.0,4.208534745714042
07/22/18,PM2.5,UG/M3,-3.6,3.78842105263158,14.9,3.1991190307801003
07/22/19,OZONE,PPB,14.0,36.255319148936174,63.0,12.710960616315427
07/22/19,PM10,UG/M3,7.0,16.5,29.0,6.290088822211047
07/22/19,PM2.5,UG/M3,-4.2,5.072677595628411,17.8,3.888616373028227
07/23/18,OZONE,PPB,10.0,19.76068376068376,38.0,5.730513566456106
07/23/18,PM2.5,UG/M3,-4.3,5.858333333333334,33.4,3.5659606586436725
07/23/19,OZONE,PPB,9.0,20.225806451612904,31.0,5.962070387873489
07/23/19,PM10,UG/M3,4.0,7.458333333333333,11.0,2.1054621854815525
07/23/19,PM2.5,UG/M3,-4.5,0.3258823529411765,7.3,2.4731530286735257
07/24/18,OZONE,PPB,7.0,18.966101694915253,25.0,3.66534289248418
07/24/18,PM2.5,UG/M3,0.9,5.24819277108434,14.2,2.4894132907797895
07/24/19,OZONE,PPB,7.0,27.760416666666668,55.0,11.46963477752559
07/24/19,PM10,UG/M3,7.0,11.041666666666666,15.0,2.612331403616096
07/24/19,PM2.5,UG/M3,-3.4,2.9111702127659584,14.7,2.7395172518185973
07/25/18,OZONE,PPB,12.0,21.724137931034484,33.0,4.156893084978253
07/25/18,PM2.5,UG/M3,-3.0,3.457594936708861,8.0,1.7695331819472662
07/25/19,OZONE,PPB,1.0,31.591397849462364,68.0,17.460039194599528
07/25/19,PM10,UG/M3,12.0,17.5,43.0,6.6398009399182385
07/25/19,PM2.5,UG/M3,-0.2,6.722105263157891,16.0,2.598562034076866
07/26/18,OZONE,PPB,14.0,32.675,67.0,13.64074623996771
07/26/18,PM2.5,UG/M3,-3.8,2.973885350318472,12.9,3.189790333452432
07/26/19,OZONE,PPB,0.0,32.0,80.0,25.059088066744206
07/26/19,PM10,UG/M3,14.0,31.291666666666668,124.0,28.485662551790725
07/26/19,PM2.5,UG/M3,1.3,8.432275132275125,28.6,3.392257393207645
07/27/18,OZONE,PPB,0.0,32.62280701754386,65.0,15.06586738931804
07/27/18,PM2.5,UG/M3,-1.9,11.456874999999998,21.5,3.7639572023011523
07/27/19,OZONE,PPB,3.0,42.239583333333336,78.0,15.527052651262819
07/27/19,PM10,UG/M3,17.0,27.375,38.0,5.670767910578969
