,DateIssue,DateForecast,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName,ActionDay,Discussion
781,2019-11-20 ,2019-11-20 ,New York City Region,NY,40.8419,-73.8359,PM2.5,38,1,Good,False,
782,2019-11-20 ,2019-11-21 ,New York City Region,NY,40.8419,-73.8359,PM2.5,50,1,Good,False,
783,2019-10-21 ,2019-10-21 ,New York City Region,NY,40.8419,-73.8359,PM2.5,35,1,Good,False,
784,2019-10-21 ,2019-10-22 ,New York City Region,NY,40.8419,-73.8359,PM2.5,38,1,Good,False,
785,2018-09-07 ,2018-09-09 ,New York City Region,NY,40.8419,-73.8359,O3,25,1,Good,False,
786,2018-09-07 ,2018-09-09 ,New York City Region,NY,40.8419,-73.8359,PM2.5,30,1,Good,False,
787,2018-09-07 ,2018-09-10 ,New York City Region,NY,40.8419,-73.8359,O3,23,1,Good,False,
788,2018-09-07 ,2018-09-10 ,New York City Region,NY,40.8419,-73.8359,PM2.5,29,1,Good,False,
789,2018-06-29 ,2018-06-29 ,New York City Region,NY,40.8419,-73.8359,O3,59,2,Moderate,False,
790,2018-06-29 ,2018-06-29 ,New York City Region,NY,40.8419,-73.8359,PM2.5,49,1,Good,False,
791,2018-06-29 ,2018-06-30 ,New York City Region,NY,40.8419,-73.8359,O3,125,3,Unhealthy for Sensitive Groups,True,
792,2018-06-29 ,2018-06-30 ,New York City Region,NY,40.8419,-73.8359,PM2.5,52,2,Moderate,False,
793,2018-06-29 ,2018-07-01 ,New York City Region,NY,40.8419,-73.8359,O3,151,4,Unhealthy,True,
794,2018-06-29 ,2018-07-01 ,New York City Region,NY,40.8419,-73.8359,PM2.5,54,2,Moderate,False,
795,2018-06-29 ,2018-07-02 ,New York City Region,NY,40.8419,-73.8359,O3,100,2,Moderate,False,
796,2018-06-29 ,2018-07-02 ,New York City Region,NY,40.8419,-73.8359,PM2.5,51,2,Moderate,False,
797,2018-02-02 ,2018-02-03 ,New York City Region,NY,40.8419,-73.8359,PM2.5,50,1,Good,False,
798,2018-02-02 ,2018-02-04 ,New York City Region,NY,40.8419,-73.8359,PM2.5,52,2,Moderate,False,
799,2018-02-02 ,2018-02-05 ,New York City Region,NY,40.8419,-73.8359,PM2.5,50,1,Good,False,
800,2019-07-31 ,2019-07-31 ,New York City Region,NY,40.8419,-73.8359,O3,65,2,Moderate,False,
801,2019-07-31 ,2019-07-31 ,New York City Region,NY,40.8419,-73.8359,PM2.5,52,2,Moderate,False,
802,2019-07-31 ,2019-08-01 ,New York City Region,NY,40.8419,-73.8359,O3,57,2,Moderate,False,
803,2019-07-31 ,2019-08-01 ,New York City Region,NY,40.8419,-73.8359,PM2.5,52,2,Moderate,False,
804,2018-07-06 ,2018-07-06 ,New York City Region,NY,40.8419,-73.8359,O3,38,1,Good,False,
805,2018-07-06 ,2018-07-06 ,New York City Region,NY,40.8419,-73.8359,PM2.5,40,1,Good,False,
806,2018-07-06 ,2018-07-07 ,New York City Region,NY,40.8419,-73.8359,O3,47,1,Good,False,
807,2018-07-06 ,2018-07-07 ,New York City Region,NY,40.8419,-73.8359,PM2.5,35,1,Good,False,
808,2018-07-06 ,2018-07-08 ,New York City Region,NY,40.8419,-73.8359,O3,80,2,Moderate,False,
809,2018-07-06 ,2018-07-08 ,New York City Region,NY,40.8419,-73.8359,PM2.5,45,1,Good,False,
810,2018-07-06 ,2018-07-09 ,New York City Region,NY,40.8419,-73.8359,O3,100,2,Moderate,False,
811,2018-07-06 ,2018-07-09 ,New York City Region,NY,40.8419,-73.8359,PM2.5,54,2,Moderate,False,
812,2019-08-07 ,2019-08-07 ,New York City Region,NY,40.8419,-73.8359,O3,48,1,Good,False,
813,2019-08-07 ,2019-08-07 ,New York City Region,NY,40.8419,-73.8359,PM2.5,48,1,Good,False,
814,2019-08-07 ,2019-08-08 ,New York City Region,NY,40.8419,-73.8359,O3,63,2,Moderate,False,
815,2019-08-07 ,2019-08-08 ,New York City Region,NY,40.8419,-73.8359,PM2.5,50,1,Good,False,
816,2018-03-06 ,2018-03-06 ,New York City Region,NY,40.8419,-73.8359,PM2.5,40,1,Good,False,
817,2018-03-06 ,2018-03-07 ,New York City Region,NY,40.8419,-73.8359,PM2.5,29,1,Good,False,
818,2019-08-26 ,2019-08-26 ,New York City Region,NY,40.8419,-73.8359,O3,39,1,Good,False,
819,2019-08-26 ,2019-08-26 ,New York City Region,NY,40.8419,-73.8359,PM2.5,28,1,Good,False,
820,2018-07-31 ,2018-07-31 ,New York City Region,NY,40.8419,-73.8359,O3,60,2,Moderate,False,
821,2018-07-31 ,2018-07-31 ,New York City Region,NY,40.8419,-73.8359,PM2.5,39,1,Good,False,
822,2018-07-31 ,2018-08-01 ,New York City Region,NY,40.8419,-73.8359,O3,42,1,Good,False,
823,2018-07-31 ,2018-08-01 ,New York City Region,NY,40.8419,-73.8359,PM2.5,39,1,Good,False,
824,2018-08-02 ,2018-08-02 ,New York City Region,NY,40.8419,-73.8359,O3,45,1,Good,False,
825,2018-08-02 ,2018-08-02 ,New York City Region,NY,40.8419,-73.8359,PM2.5,46,1,Good,False,
826,2018-08-02 ,2018-08-03 ,New York City Region,NY,40.8419,-73.8359,O3,42,1,Good,False,
827,2018-08-02 ,2018-08-03 ,New York City Region,NY,40.8419,-73.8359,PM2.5,40,1,Good,False,
828,2018-09-05 ,2018-09-05 ,New York City Region,NY,40.8419,-73.8359,O3,68,2,Moderate,False,
829,2018-09-05 ,2018-09-05 ,New York City Region,NY,40.8419,-73.8359,PM2.5,54,2,Moderate,False,
830,2018-09-05 ,2018-09-06 ,New York City Region,NY,40.8419,-73.8359,O3,68,2,Moderate,False,
831,2018-09-05 ,2018-09-06 ,New York City Region,NY,40.8419,-73.8359,PM2.5,51,2,Moderate,False,
832,2018-11-23 ,2018-11-24 ,New York City Region,NY,40.8419,-73.8359,PM2.5,45,1,Good,False,
833,2018-11-23 ,2018-11-25 ,New York City Region,NY,40.8419,-73.8359,PM2.5,30,1,Good,False,
834,2018-11-23 ,2018-11-26 ,New York City Region,NY,40.8419,-73.8359,PM2.5,50,1,Good,False,
835,2019-01-04 ,2019-01-04 ,New York City Region,NY,40.8419,-73.8359,PM2.5,58,2,Moderate,False,
836,2019-01-04 ,2019-01-05 ,New York City Region,NY,40.8419,-73.8359,PM2.5,48,1,Good,False,
837,2019-01-04 ,2019-01-06 ,New York City Region,NY,40.8419,-73.8359,PM2.5,31,1,Good,False,
838,2019-01-04 ,2019-01-07 ,New York City Region,NY,40.8419,-73.8359,PM2.5,29,1,Good,False,
839,2018-03-14 ,2018-03-14 ,New York City Region,NY,40.8419,-73.8359,PM2.5,36,1,Good,False,
840,2018-03-14 ,2018-03-15 ,New York City Region,NY,40.8419,-73.8359,PM2.5,40,1,Good,False,
841,2019-10-11 ,2019-10-14 ,New York City Region,NY,40.8419,-73.8359,PM2.5,43,1,Good,False,
842,2019-10-11 ,2019-10-15 ,New York City Region,NY,40.8419,-73.8359,PM2.5,38,1,Good,False,
843,2018-08-08 ,2018-08-08 ,New York City Region,NY,40.8419,-73.8359,O3,73,2,Moderate,False,
844,2018-08-08 ,2018-08-08 ,New York City Region,NY,40.8419,-73.8359,PM2.5,55,2,Moderate,False,
845,2018-08-08 ,2018-08-09 ,New York City Region,NY,40.8419,-73.8359,O3,45,1,Good,False,
846,2018-08-08 ,2018-08-09 ,New York City Region,NY,40.8419,-73.8359,PM2.5,50,1,Good,False,
847,2019-11-21 ,2019-11-21 ,New York City Region,NY,40.8419,-73.8359,PM2.5,48,1,Good,False,
848,2019-11-21 ,2019-11-22 ,New York City Region,NY,40.8419,-73.8359,PM2.5,48,1,Good,False,
849,2018-11-29 ,2018-11-29 ,New York City Region,NY,40.8419,-73.8359,PM2.5,30,1,Good,False,
850,2018-11-29 ,2018-11-30 ,New York City Region,NY,40.8419,-73.8359,PM2.5,50,1,Good,False,
851,2019-11-25 ,2019-11-25 ,New York City Region,NY,40.8419,-73.8359,PM2.5,68,2,Moderate,False,
852,2019-11-25 ,2019-11-26 ,New York City Region,NY,40.8419,-73.8359,PM2.5,65,2,Moderate,False,
853,2019-08-12 ,2019-08-12 ,New York City Region,NY,40.8419,-73.8359,O3,54,2,Moderate,False,
854,2019-08-12 ,2019-08-12 ,New York City Region,NY,40.8419,-73.8359,PM2.5,45,1,Good,False,
855,2019-08-12 ,2019-08-13 ,New York City Region,NY,40.8419,-73.8359,O3,43,1,Good,False,
856,2019-08-12 ,2019-08-13 ,New York City Region,NY,40.8419,-73.8359,PM2.5,43,1,Good,False,
857,2018-09-13 ,2018-09-14 ,New York City Region,NY,40.8419,-73.8359,O3,-1,1,Good,False,
858,2018-01-26 ,2018-01-26 ,New York City Region,NY,40.8419,-73.8359,PM2.5,43,1,Good,False,
859,2018-01-26 ,2018-01-27 ,New York City Region,NY,40.8419,-73.8359,PM2.5,58,2,Moderate,False,
860,2018-01-26 ,2018-01-28 ,New York City Region,NY,40.8419,-73.8359,PM2.5,63,2,Moderate,False,
861,2018-01-26 ,2018-01-29 ,New York City Region,NY,40.8419,-73.8359,PM2.5,63,2,Moderate,False,
862,2019-02-01 ,2019-02-03 ,New York City Region,NY,40.8419,-73.8359,PM2.5,69,2,Moderate,False,
863,2019-02-01 ,2019-02-04 ,New York City Region,NY,40.8419,-73.8359,PM2.5,70,2,Moderate,False,
864,2019-12-03 ,2019-12-03 ,New York City Region,NY,40.8419,-73.8359,PM2.5,30,1,Good,False,
865,2019-12-03 ,2019-12-04 ,New York City Region,NY,40.8419,-73.8359,PM2.5,50,1,Good,False,
866,2019-10-11 ,2019-10-12 ,New York City Region,NY,40.8419,-73.8359,PM2.5,30,1,Good,False,
867,2019-10-11 ,2019-10-13 ,New York City Region,NY,40.8419,-73.8359,PM2.5,38,1,Good,False,
868,2019-10-11 ,2019-10-14 ,New York City Region,NY,40.8419,-73.8359,PM2.5,43,1,Good,False,
869,2019-10-11 ,2019-10-15 ,New York City Region,NY,40.8419,-73.8359,PM2.5,38,1,Good,False,
870,2019-10-15 ,2019-10-15 ,New York City Region,NY,40.8419,-73.8359,PM2.5,36,1,Good,False,
871,2019-10-15 ,2019-10-16 ,New York City Region,NY,40.8419,-73.8359,PM2.5,30,1,Good,False,
872,2019-11-05 ,2019-11-05 ,New York City Region,NY,40.8419,-73.8359,PM2.5,45,1,Good,False,
873,2019-11-05 ,2019-11-06 ,New York City Region,NY,40.8419,-73.8359,PM2.5,45,1,Good,False,
874,2019-10-24 ,2019-10-24 ,New York City Region,NY,40.8419,-73.8359,PM2.5,38,1,Good,False,
875,2019-10-24 ,2019-10-25 ,New York City Region,NY,40.8419,-73.8359,PM2.5,50,1,Good,False,
876,2018-02-16 ,2018-02-18 ,New York City Region,NY,40.8419,-73.8359,PM2.5,53,2,Moderate,False,
877,2018-02-16 ,2018-02-19 ,New York City Region,NY,40.8419,-73.8359,PM2.5,54,2,Moderate,False,
878,2018-02-16 ,2018-02-20 ,New York City Region,NY,40.8419,-73.8359,PM2.5,59,2,Moderate,False,
879,2018-06-28 ,2018-06-28 ,New York City Region,NY,40.8419,-73.8359,O3,48,1,Good,False,
880,2018-06-28 ,2018-06-28 ,New York City Region,NY,40.8419,-73.8359,PM2.5,39,1,Good,False,
881,2018-06-28 ,2018-06-29 ,New York City Region,NY,40.8419,-73.8359,O3,59,2,Moderate,False,
882,2018-06-28 ,2018-06-29 ,New York City Region,NY,40.8419,-73.8359,PM2.5,48,1,Good,False,
883,2018-04-24 ,2018-04-24 ,New York City Region,NY,40.8419,-73.8359,O3,48,1,Good,False,
884,2018-04-24 ,2018-04-24 ,New York City Region,NY,40.8419,-73.8359,PM2.5,49,1,Good,False,
885,2018-04-24 ,2018-04-25 ,New York City Region,NY,40.8419,-73.8359,O3,28,1,Good,False,
886,2018-04-24 ,2018-04-25 ,New York City Region,NY,40.8419,-73.8359,PM2.5,41,1,Good,False,
887,2018-04-24 ,2018-04-26 ,New York City Region,NY,40.8419,-73.8359,O3,52,2,Moderate,False,
888,2018-04-24 ,2018-04-26 ,New York City Region,NY,40.8419,-73.8359,PM2.5,42,1,Good,False,
889,2018-07-24 ,2018-07-24 ,New York City Region,NY,40.8419,-73.8359,O3,36,1,Good,False,
890,2018-07-24 ,2018-07-24 ,New York City Region,NY,40.8419,-73.8359,PM2.5,42,1,Good,False,
891,2018-07-24 ,2018-07-25 ,New York City Region,NY,40.8419,-73.8359,O3,31,1,Good,False,
892,2018-07-24 ,2018-07-25 ,New York City Region,NY,40.8419,-73.8359,PM2.5,35,1,Good,False,
893,2018-11-15 ,2018-11-15 ,New York City Region,NY,40.8419,-73.8359,PM2.5,26,1,Good,False,
894,2018-11-15 ,2018-11-16 ,New York City Region,NY,40.8419,-73.8359,PM2.5,30,1,Good,False,
895,2018-07-10 ,2018-07-10 ,New York City Region,NY,40.8419,-73.8359,O3,108,3,Unhealthy for Sensitive Groups,True,
896,2018-07-10 ,2018-07-10 ,New York City Region,NY,40.8419,-73.8359,PM2.5,58,2,Moderate,False,
897,2018-07-10 ,2018-07-11 ,New York City Region,NY,40.8419,-73.8359,O3,50,1,Good,False,
898,2018-07-10 ,2018-07-11 ,New York City Region,NY,40.8419,-73.8359,PM2.5,54,2,Moderate,False,
899,2019-06-28 ,2019-06-30 ,New York City Region,NY,40.8419,-73.8359,O3,50,1,Good,False,
900,2019-06-28 ,2019-06-30 ,New York City Region,NY,40.8419,-73.8359,PM2.5,35,1,Good,False,
901,2019-06-28 ,2019-07-01 ,New York City Region,NY,40.8419,-73.8359,O3,50,1,Good,False,
