,date,time,aqsid,site,gmtoffset,parameter,units,value,source
2074781,10/13/19,05:00,360810124,Queens,-5.0,PM2.5,UG/M3,5.1,New York Dept. of Environmental Conservation
2074782,10/13/19,05:00,360850111,Fresh Kills,-5.0,OZONE,PPB,11.0,New York Dept. of Environmental Conservation
2074783,10/13/19,05:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,9.7,New York Dept. of Environmental Conservation
2089497,11/11/19,16:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,10.0,New York Dept. of Environmental Conservation
2089498,11/11/19,16:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,53.0,New York Dept. of Environmental Conservation
2089499,11/11/19,16:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,15.5,New York Dept. of Environmental Conservation
2089500,11/11/19,16:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,8.0,New York Dept. of Environmental Conservation
2089522,11/11/19,16:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,13.7,New York Dept. of Environmental Conservation
2089523,11/11/19,16:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,16.5,New York Dept. of Environmental Conservation
2089527,11/11/19,16:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,21.6,New York Dept. of Environmental Conservation
2089528,11/11/19,16:00,360610134,Division Street,-5.0,PM2.5,UG/M3,20.2,New York Dept. of Environmental Conservation
2089529,11/11/19,16:00,360610135,CCNY,-5.0,OZONE,PPB,6.0,New York Dept. of Environmental Conservation
2089530,11/11/19,16:00,360610135,CCNY,-5.0,PM2.5,UG/M3,20.7,New York Dept. of Environmental Conservation
2089539,11/11/19,16:00,360810124,Queens,-5.0,OZONE,PPB,23.0,New York Dept. of Environmental Conservation
2089540,11/11/19,16:00,360810124,Queens,-5.0,PM2.5,UG/M3,17.3,New York Dept. of Environmental Conservation
2089541,11/11/19,16:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,13.8,New York Dept. of Environmental Conservation
2104500,11/02/19,08:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,14.0,New York Dept. of Environmental Conservation
2104501,11/02/19,08:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,9.0,New York Dept. of Environmental Conservation
2104502,11/02/19,08:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,3.1,New York Dept. of Environmental Conservation
2104503,11/02/19,08:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,12.0,New York Dept. of Environmental Conservation
2104522,11/02/19,08:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,3.4,New York Dept. of Environmental Conservation
2104523,11/02/19,08:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,3.8,New York Dept. of Environmental Conservation
2104527,11/02/19,08:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,3.3,New York Dept. of Environmental Conservation
2104528,11/02/19,08:00,360610134,Division Street,-5.0,PM2.5,UG/M3,3.3,New York Dept. of Environmental Conservation
2104529,11/02/19,08:00,360610135,CCNY,-5.0,OZONE,PPB,19.0,New York Dept. of Environmental Conservation
2104530,11/02/19,08:00,360610135,CCNY,-5.0,PM2.5,UG/M3,2.4,New York Dept. of Environmental Conservation
2104537,11/02/19,08:00,360810124,Queens,-5.0,OZONE,PPB,17.0,New York Dept. of Environmental Conservation
2104538,11/02/19,08:00,360810124,Queens,-5.0,PM2.5,UG/M3,5.3,New York Dept. of Environmental Conservation
2104539,11/02/19,08:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,5.3,New York Dept. of Environmental Conservation
2119583,10/26/19,18:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,34.0,New York Dept. of Environmental Conservation
2119584,10/26/19,18:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,11.0,New York Dept. of Environmental Conservation
2119585,10/26/19,18:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,12.3,New York Dept. of Environmental Conservation
2119586,10/26/19,18:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,34.0,New York Dept. of Environmental Conservation
2119608,10/26/19,18:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,3.8,New York Dept. of Environmental Conservation
2119609,10/26/19,18:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,3.5,New York Dept. of Environmental Conservation
2119613,10/26/19,18:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,2.2,New York Dept. of Environmental Conservation
2119614,10/26/19,18:00,360610134,Division Street,-5.0,PM2.5,UG/M3,6.8,New York Dept. of Environmental Conservation
2119615,10/26/19,18:00,360610135,CCNY,-5.0,OZONE,PPB,37.0,New York Dept. of Environmental Conservation
2119616,10/26/19,18:00,360610135,CCNY,-5.0,PM2.5,UG/M3,1.9,New York Dept. of Environmental Conservation
2119625,10/26/19,18:00,360810124,Queens,-5.0,OZONE,PPB,38.0,New York Dept. of Environmental Conservation
2119626,10/26/19,18:00,360810124,Queens,-5.0,PM2.5,UG/M3,1.8,New York Dept. of Environmental Conservation
2119627,10/26/19,18:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,3.8,New York Dept. of Environmental Conservation
2119628,10/26/19,18:00,360850111,Fresh Kills,-5.0,OZONE,PPB,30.0,New York Dept. of Environmental Conservation
2119629,10/26/19,18:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,2.8,New York Dept. of Environmental Conservation
2127096,10/13/19,11:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,8.0,New York Dept. of Environmental Conservation
2127097,10/13/19,11:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,9.0,New York Dept. of Environmental Conservation
2127098,10/13/19,11:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,7.9,New York Dept. of Environmental Conservation
2127099,10/13/19,11:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,10.0,New York Dept. of Environmental Conservation
2127119,10/13/19,11:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,5.2,New York Dept. of Environmental Conservation
2127120,10/13/19,11:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,4.9,New York Dept. of Environmental Conservation
2127124,10/13/19,11:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,7.0,New York Dept. of Environmental Conservation
2127125,10/13/19,11:00,360610134,Division Street,-5.0,PM2.5,UG/M3,5.0,New York Dept. of Environmental Conservation
2127126,10/13/19,11:00,360610135,CCNY,-5.0,OZONE,PPB,13.0,New York Dept. of Environmental Conservation
2127127,10/13/19,11:00,360610135,CCNY,-5.0,PM2.5,UG/M3,3.9,New York Dept. of Environmental Conservation
2127136,10/13/19,11:00,360810124,Queens,-5.0,OZONE,PPB,18.0,New York Dept. of Environmental Conservation
2127137,10/13/19,11:00,360810124,Queens,-5.0,PM2.5,UG/M3,3.7,New York Dept. of Environmental Conservation
2127138,10/13/19,11:00,360850111,Fresh Kills,-5.0,OZONE,PPB,14.0,New York Dept. of Environmental Conservation
2127139,10/13/19,11:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,4.6,New York Dept. of Environmental Conservation
2142117,11/11/19,02:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,5.0,New York Dept. of Environmental Conservation
2142118,11/11/19,02:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,22.0,New York Dept. of Environmental Conservation
2142119,11/11/19,02:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,15.2,New York Dept. of Environmental Conservation
2142120,11/11/19,02:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,5.0,New York Dept. of Environmental Conservation
2142142,11/11/19,02:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,13.7,New York Dept. of Environmental Conservation
2142143,11/11/19,02:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,16.8,New York Dept. of Environmental Conservation
2142147,11/11/19,02:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,11.6,New York Dept. of Environmental Conservation
2142148,11/11/19,02:00,360610134,Division Street,-5.0,PM2.5,UG/M3,14.2,New York Dept. of Environmental Conservation
2142149,11/11/19,02:00,360610135,CCNY,-5.0,OZONE,PPB,13.0,New York Dept. of Environmental Conservation
2142150,11/11/19,02:00,360610135,CCNY,-5.0,PM2.5,UG/M3,12.3,New York Dept. of Environmental Conservation
2142159,11/11/19,02:00,360810124,Queens,-5.0,OZONE,PPB,1.0,New York Dept. of Environmental Conservation
2142160,11/11/19,02:00,360810124,Queens,-5.0,PM2.5,UG/M3,18.0,New York Dept. of Environmental Conservation
2142161,11/11/19,02:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,14.8,New York Dept. of Environmental Conservation
2156892,12/03/19,20:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,30.0,New York Dept. of Environmental Conservation
2156893,12/03/19,20:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,13.0,New York Dept. of Environmental Conservation
2156894,12/03/19,20:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,6.4,New York Dept. of Environmental Conservation
2156895,12/03/19,20:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,32.0,New York Dept. of Environmental Conservation
2156916,12/03/19,20:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,6.3,New York Dept. of Environmental Conservation
2156917,12/03/19,20:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,7.9,New York Dept. of Environmental Conservation
