,date,time,aqsid,site,gmtoffset,parameter,units,value,source
8902392,11/23/19,22:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,5.4,New York Dept. of Environmental Conservation
8902396,11/23/19,22:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,7.5,New York Dept. of Environmental Conservation
8902397,11/23/19,22:00,360610134,Division Street,-5.0,PM2.5,UG/M3,6.2,New York Dept. of Environmental Conservation
8902398,11/23/19,22:00,360610135,CCNY,-5.0,OZONE,PPB,9.0,New York Dept. of Environmental Conservation
8902399,11/23/19,22:00,360610135,CCNY,-5.0,PM2.5,UG/M3,5.1,New York Dept. of Environmental Conservation
8902408,11/23/19,22:00,360810124,Queens,-5.0,OZONE,PPB,8.0,New York Dept. of Environmental Conservation
8902409,11/23/19,22:00,360810124,Queens,-5.0,PM2.5,UG/M3,7.3,New York Dept. of Environmental Conservation
8902410,11/23/19,22:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,5.6,New York Dept. of Environmental Conservation
8902411,11/23/19,22:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,4.4,New York Dept. of Environmental Conservation
8916565,11/16/19,03:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,21.0,New York Dept. of Environmental Conservation
8916566,11/16/19,03:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,17.0,New York Dept. of Environmental Conservation
8916567,11/16/19,03:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,6.8,New York Dept. of Environmental Conservation
8916568,11/16/19,03:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,27.0,New York Dept. of Environmental Conservation
8916589,11/16/19,03:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,8.2,New York Dept. of Environmental Conservation
8916590,11/16/19,03:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,7.4,New York Dept. of Environmental Conservation
8916594,11/16/19,03:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,8.6,New York Dept. of Environmental Conservation
8916595,11/16/19,03:00,360610134,Division Street,-5.0,PM2.5,UG/M3,7.8,New York Dept. of Environmental Conservation
8916596,11/16/19,03:00,360610135,CCNY,-5.0,OZONE,PPB,21.0,New York Dept. of Environmental Conservation
8916597,11/16/19,03:00,360610135,CCNY,-5.0,PM2.5,UG/M3,6.1,New York Dept. of Environmental Conservation
8916606,11/16/19,03:00,360810124,Queens,-5.0,OZONE,PPB,23.0,New York Dept. of Environmental Conservation
8916607,11/16/19,03:00,360810124,Queens,-5.0,PM2.5,UG/M3,6.2,New York Dept. of Environmental Conservation
8916608,11/16/19,03:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,10.1,New York Dept. of Environmental Conservation
8916609,11/16/19,03:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,9.0,New York Dept. of Environmental Conservation
8931397,10/14/19,10:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,13.0,New York Dept. of Environmental Conservation
8931398,10/14/19,10:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,17.0,New York Dept. of Environmental Conservation
8931399,10/14/19,10:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,7.1,New York Dept. of Environmental Conservation
8931400,10/14/19,10:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,19.0,New York Dept. of Environmental Conservation
8931422,10/14/19,10:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,3.9,New York Dept. of Environmental Conservation
8931423,10/14/19,10:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,3.7,New York Dept. of Environmental Conservation
8931427,10/14/19,10:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,7.2,New York Dept. of Environmental Conservation
8931428,10/14/19,10:00,360610134,Division Street,-5.0,PM2.5,UG/M3,4.5,New York Dept. of Environmental Conservation
8931429,10/14/19,10:00,360610135,CCNY,-5.0,OZONE,PPB,20.0,New York Dept. of Environmental Conservation
8931430,10/14/19,10:00,360610135,CCNY,-5.0,PM2.5,UG/M3,5.8,New York Dept. of Environmental Conservation
8931439,10/14/19,10:00,360810124,Queens,-5.0,OZONE,PPB,28.0,New York Dept. of Environmental Conservation
8931440,10/14/19,10:00,360810124,Queens,-5.0,PM2.5,UG/M3,3.4,New York Dept. of Environmental Conservation
8931441,10/14/19,10:00,360850111,Fresh Kills,-5.0,OZONE,PPB,25.0,New York Dept. of Environmental Conservation
8931442,10/14/19,10:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,5.2,New York Dept. of Environmental Conservation
8946215,11/30/19,14:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,20.0,New York Dept. of Environmental Conservation
8946216,11/30/19,14:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,8.0,New York Dept. of Environmental Conservation
8946217,11/30/19,14:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,4.2,New York Dept. of Environmental Conservation
8946218,11/30/19,14:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,22.0,New York Dept. of Environmental Conservation
8946239,11/30/19,14:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,3.8,New York Dept. of Environmental Conservation
8946240,11/30/19,14:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,4.1,New York Dept. of Environmental Conservation
8946244,11/30/19,14:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,12.7,New York Dept. of Environmental Conservation
8946245,11/30/19,14:00,360610134,Division Street,-5.0,PM2.5,UG/M3,4.0,New York Dept. of Environmental Conservation
8946246,11/30/19,14:00,360610135,CCNY,-5.0,PM2.5,UG/M3,8.2,New York Dept. of Environmental Conservation
8946255,11/30/19,14:00,360810124,Queens,-5.0,OZONE,PPB,22.0,New York Dept. of Environmental Conservation
8946256,11/30/19,14:00,360810124,Queens,-5.0,PM2.5,UG/M3,1.6,New York Dept. of Environmental Conservation
8946257,11/30/19,14:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,5.2,New York Dept. of Environmental Conservation
8946258,11/30/19,14:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,5.1,New York Dept. of Environmental Conservation
8961408,10/21/19,19:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,42.0,New York Dept. of Environmental Conservation
8961409,10/21/19,19:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,11.0,New York Dept. of Environmental Conservation
8961410,10/21/19,19:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,4.7,New York Dept. of Environmental Conservation
8961411,10/21/19,19:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,43.0,New York Dept. of Environmental Conservation
8961433,10/21/19,19:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,5.7,New York Dept. of Environmental Conservation
8961434,10/21/19,19:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,5.2,New York Dept. of Environmental Conservation
8961438,10/21/19,19:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,6.8,New York Dept. of Environmental Conservation
8961439,10/21/19,19:00,360610134,Division Street,-5.0,PM2.5,UG/M3,4.9,New York Dept. of Environmental Conservation
8961440,10/21/19,19:00,360610135,CCNY,-5.0,OZONE,PPB,38.0,New York Dept. of Environmental Conservation
8961441,10/21/19,19:00,360610135,CCNY,-5.0,PM2.5,UG/M3,5.2,New York Dept. of Environmental Conservation
8961450,10/21/19,19:00,360810124,Queens,-5.0,PM2.5,UG/M3,2.1,New York Dept. of Environmental Conservation
8961451,10/21/19,19:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,6.3,New York Dept. of Environmental Conservation
8961452,10/21/19,19:00,360850111,Fresh Kills,-5.0,OZONE,PPB,39.0,New York Dept. of Environmental Conservation
8961453,10/21/19,19:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,4.1,New York Dept. of Environmental Conservation
8976230,11/30/19,00:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,15.0,New York Dept. of Environmental Conservation
8976231,11/30/19,00:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,7.0,New York Dept. of Environmental Conservation
8976232,11/30/19,00:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,2.0,New York Dept. of Environmental Conservation
8976233,11/30/19,00:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,17.0,New York Dept. of Environmental Conservation
8976254,11/30/19,00:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,2.4,New York Dept. of Environmental Conservation
8976255,11/30/19,00:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,4.1,New York Dept. of Environmental Conservation
8976259,11/30/19,00:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,0.2,New York Dept. of Environmental Conservation
8976260,11/30/19,00:00,360610134,Division Street,-5.0,PM2.5,UG/M3,5.6,New York Dept. of Environmental Conservation
8976261,11/30/19,00:00,360610135,CCNY,-5.0,OZONE,PPB,20.0,New York Dept. of Environmental Conservation
8976262,11/30/19,00:00,360610135,CCNY,-5.0,PM2.5,UG/M3,3.6,New York Dept. of Environmental Conservation
8976271,11/30/19,00:00,360810124,Queens,-5.0,OZONE,PPB,17.0,New York Dept. of Environmental Conservation
8976272,11/30/19,00:00,360810124,Queens,-5.0,PM2.5,UG/M3,-0.3,New York Dept. of Environmental Conservation
8976273,11/30/19,00:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,4.4,New York Dept. of Environmental Conservation
8976274,11/30/19,00:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,1.8,New York Dept. of Environmental Conservation
8990495,11/16/19,17:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,32.0,New York Dept. of Environmental Conservation
8990496,11/16/19,17:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,9.0,New York Dept. of Environmental Conservation
8990497,11/16/19,17:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,1.4,New York Dept. of Environmental Conservation
8990498,11/16/19,17:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,33.0,New York Dept. of Environmental Conservation
8990519,11/16/19,17:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,3.8,New York Dept. of Environmental Conservation
8990520,11/16/19,17:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,12.8,New York Dept. of Environmental Conservation
8990524,11/16/19,17:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,2.0,New York Dept. of Environmental Conservation
8990525,11/16/19,17:00,360610134,Division Street,-5.0,PM2.5,UG/M3,1.9,New York Dept. of Environmental Conservation
8990526,11/16/19,17:00,360610135,CCNY,-5.0,OZONE,PPB,31.0,New York Dept. of Environmental Conservation
8990535,11/16/19,17:00,360810124,Queens,-5.0,OZONE,PPB,36.0,New York Dept. of Environmental Conservation
8990536,11/16/19,17:00,360810124,Queens,-5.0,PM2.5,UG/M3,-0.9,New York Dept. of Environmental Conservation
8990537,11/16/19,17:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,-1.5,New York Dept. of Environmental Conservation
8990538,11/16/19,17:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,1.5,New York Dept. of Environmental Conservation
9004918,10/14/19,04:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,25.0,New York Dept. of Environmental Conservation
9004919,10/14/19,04:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,14.0,New York Dept. of Environmental Conservation
9004920,10/14/19,04:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,4.0,New York Dept. of Environmental Conservation
9004921,10/14/19,04:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,24.0,New York Dept. of Environmental Conservation
9004943,10/14/19,04:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,3.0,New York Dept. of Environmental Conservation
9004944,10/14/19,04:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,3.3,New York Dept. of Environmental Conservation
9004948,10/14/19,04:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,4.8,New York Dept. of Environmental Conservation
9004949,10/14/19,04:00,360610134,Division Street,-5.0,PM2.5,UG/M3,2.5,New York Dept. of Environmental Conservation
9004950,10/14/19,04:00,360610135,CCNY,-5.0,OZONE,PPB,20.0,New York Dept. of Environmental Conservation
9004951,10/14/19,04:00,360610135,CCNY,-5.0,PM2.5,UG/M3,5.6,New York Dept. of Environmental Conservation
9004960,10/14/19,04:00,360810124,Queens,-5.0,OZONE,PPB,21.0,New York Dept. of Environmental Conservation
9004961,10/14/19,04:00,360810124,Queens,-5.0,PM2.5,UG/M3,1.5,New York Dept. of Environmental Conservation
9004962,10/14/19,04:00,360850111,Fresh Kills,-5.0,OZONE,PPB,28.0,New York Dept. of Environmental Conservation
9004963,10/14/19,04:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,3.2,New York Dept. of Environmental Conservation
9019999,11/05/19,09:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,3.0,New York Dept. of Environmental Conservation
9020000,11/05/19,09:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,16.0,New York Dept. of Environmental Conservation
9020001,11/05/19,09:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,6.6,New York Dept. of Environmental Conservation
9020002,11/05/19,09:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,1.0,New York Dept. of Environmental Conservation
9020023,11/05/19,09:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,5.2,New York Dept. of Environmental Conservation
9020024,11/05/19,09:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,6.1,New York Dept. of Environmental Conservation
9020028,11/05/19,09:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,8.3,New York Dept. of Environmental Conservation
9020029,11/05/19,09:00,360610134,Division Street,-5.0,PM2.5,UG/M3,3.2,New York Dept. of Environmental Conservation
9020030,11/05/19,09:00,360610135,CCNY,-5.0,OZONE,PPB,9.0,New York Dept. of Environmental Conservation
9020031,11/05/19,09:00,360610135,CCNY,-5.0,PM2.5,UG/M3,6.1,New York Dept. of Environmental Conservation
9020040,11/05/19,09:00,360810124,Queens,-5.0,OZONE,PPB,4.0,New York Dept. of Environmental Conservation
9020041,11/05/19,09:00,360810124,Queens,-5.0,PM2.5,UG/M3,0.8,New York Dept. of Environmental Conservation
9020042,11/05/19,09:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,7.0,New York Dept. of Environmental Conservation
9020043,11/05/19,09:00,360850111,Fresh Kills,-5.0,OZONE,PPB,12.0,New York Dept. of Environmental Conservation
9020044,11/05/19,09:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,5.0,New York Dept. of Environmental Conservation
9034977,11/05/19,08:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,10.0,New York Dept. of Environmental Conservation
9034978,11/05/19,08:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,14.0,New York Dept. of Environmental Conservation
9034979,11/05/19,08:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,6.4,New York Dept. of Environmental Conservation
9034980,11/05/19,08:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,3.0,New York Dept. of Environmental Conservation
9034997,11/05/19,08:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,4.9,New York Dept. of Environmental Conservation
9034998,11/05/19,08:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,4.9,New York Dept. of Environmental Conservation
9035002,11/05/19,08:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,5.9,New York Dept. of Environmental Conservation
9035003,11/05/19,08:00,360610134,Division Street,-5.0,PM2.5,UG/M3,1.7,New York Dept. of Environmental Conservation
9035004,11/05/19,08:00,360610135,CCNY,-5.0,OZONE,PPB,20.0,New York Dept. of Environmental Conservation
9035005,11/05/19,08:00,360610135,CCNY,-5.0,PM2.5,UG/M3,4.9,New York Dept. of Environmental Conservation
9035013,11/05/19,08:00,360810124,Queens,-5.0,OZONE,PPB,16.0,New York Dept. of Environmental Conservation
9035014,11/05/19,08:00,360810124,Queens,-5.0,PM2.5,UG/M3,2.3,New York Dept. of Environmental Conservation
9035015,11/05/19,08:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,5.1,New York Dept. of Environmental Conservation
9035016,11/05/19,08:00,360850111,Fresh Kills,-5.0,OZONE,PPB,16.0,New York Dept. of Environmental Conservation
9035017,11/05/19,08:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,4.3,New York Dept. of Environmental Conservation
9049419,10/14/19,05:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,24.0,New York Dept. of Environmental Conservation
9049420,10/14/19,05:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,13.0,New York Dept. of Environmental Conservation
9049421,10/14/19,05:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,3.7,New York Dept. of Environmental Conservation
9049422,10/14/19,05:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,23.0,New York Dept. of Environmental Conservation
9049444,10/14/19,05:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,2.5,New York Dept. of Environmental Conservation
9049445,10/14/19,05:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,3.4,New York Dept. of Environmental Conservation
9049449,10/14/19,05:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,4.9,New York Dept. of Environmental Conservation
9049450,10/14/19,05:00,360610134,Division Street,-5.0,PM2.5,UG/M3,2.6,New York Dept. of Environmental Conservation
9049451,10/14/19,05:00,360610135,CCNY,-5.0,OZONE,PPB,16.0,New York Dept. of Environmental Conservation
9049452,10/14/19,05:00,360610135,CCNY,-5.0,PM2.5,UG/M3,5.1,New York Dept. of Environmental Conservation
9049461,10/14/19,05:00,360810124,Queens,-5.0,OZONE,PPB,34.0,New York Dept. of Environmental Conservation
9049462,10/14/19,05:00,360810124,Queens,-5.0,PM2.5,UG/M3,0.1,New York Dept. of Environmental Conservation
9049463,10/14/19,05:00,360850111,Fresh Kills,-5.0,OZONE,PPB,31.0,New York Dept. of Environmental Conservation
9049464,10/14/19,05:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,2.9,New York Dept. of Environmental Conservation
9063634,11/16/19,16:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,32.0,New York Dept. of Environmental Conservation
9063635,11/16/19,16:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,11.0,New York Dept. of Environmental Conservation
9063636,11/16/19,16:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,1.7,New York Dept. of Environmental Conservation
9063637,11/16/19,16:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,35.0,New York Dept. of Environmental Conservation
9063658,11/16/19,16:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,2.8,New York Dept. of Environmental Conservation
9063659,11/16/19,16:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,4.6,New York Dept. of Environmental Conservation
9063663,11/16/19,16:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,0.9,New York Dept. of Environmental Conservation
9063664,11/16/19,16:00,360610134,Division Street,-5.0,PM2.5,UG/M3,0.6,New York Dept. of Environmental Conservation
9063673,11/16/19,16:00,360810124,Queens,-5.0,OZONE,PPB,36.0,New York Dept. of Environmental Conservation
9063674,11/16/19,16:00,360810124,Queens,-5.0,PM2.5,UG/M3,-1.0,New York Dept. of Environmental Conservation
9063675,11/16/19,16:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,1.2,New York Dept. of Environmental Conservation
9063676,11/16/19,16:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,1.8,New York Dept. of Environmental Conservation
9078248,11/30/19,01:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,16.0,New York Dept. of Environmental Conservation
9078249,11/30/19,01:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,7.0,New York Dept. of Environmental Conservation
9078250,11/30/19,01:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,2.6,New York Dept. of Environmental Conservation
9078251,11/30/19,01:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,18.0,New York Dept. of Environmental Conservation
9078272,11/30/19,01:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,3.6,New York Dept. of Environmental Conservation
9078273,11/30/19,01:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,3.9,New York Dept. of Environmental Conservation
9078277,11/30/19,01:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,3.3,New York Dept. of Environmental Conservation
9078278,11/30/19,01:00,360610134,Division Street,-5.0,PM2.5,UG/M3,5.4,New York Dept. of Environmental Conservation
9078279,11/30/19,01:00,360610135,CCNY,-5.0,OZONE,PPB,19.0,New York Dept. of Environmental Conservation
9078280,11/30/19,01:00,360610135,CCNY,-5.0,PM2.5,UG/M3,2.4,New York Dept. of Environmental Conservation
9078289,11/30/19,01:00,360810124,Queens,-5.0,OZONE,PPB,19.0,New York Dept. of Environmental Conservation
9078290,11/30/19,01:00,360810124,Queens,-5.0,PM2.5,UG/M3,3.9,New York Dept. of Environmental Conservation
9078291,11/30/19,01:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,4.2,New York Dept. of Environmental Conservation
9078292,11/30/19,01:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,3.5,New York Dept. of Environmental Conservation
9093406,10/21/19,18:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,40.0,New York Dept. of Environmental Conservation
9093407,10/21/19,18:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,13.0,New York Dept. of Environmental Conservation
9093408,10/21/19,18:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,2.3,New York Dept. of Environmental Conservation
9093409,10/21/19,18:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,39.0,New York Dept. of Environmental Conservation
9093431,10/21/19,18:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,3.1,New York Dept. of Environmental Conservation
9093432,10/21/19,18:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,3.5,New York Dept. of Environmental Conservation
9093436,10/21/19,18:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,4.5,New York Dept. of Environmental Conservation
9093437,10/21/19,18:00,360610134,Division Street,-5.0,PM2.5,UG/M3,6.7,New York Dept. of Environmental Conservation
9093438,10/21/19,18:00,360610135,CCNY,-5.0,OZONE,PPB,36.0,New York Dept. of Environmental Conservation
9093439,10/21/19,18:00,360610135,CCNY,-5.0,PM2.5,UG/M3,6.6,New York Dept. of Environmental Conservation
9093448,10/21/19,18:00,360810124,Queens,-5.0,PM2.5,UG/M3,4.7,New York Dept. of Environmental Conservation
9093449,10/21/19,18:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,5.7,New York Dept. of Environmental Conservation
9093450,10/21/19,18:00,360850111,Fresh Kills,-5.0,OZONE,PPB,35.0,New York Dept. of Environmental Conservation
9093451,10/21/19,18:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,4.7,New York Dept. of Environmental Conservation
9108203,11/30/19,15:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,24.0,New York Dept. of Environmental Conservation
9108204,11/30/19,15:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,7.0,New York Dept. of Environmental Conservation
9108205,11/30/19,15:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,1.4,New York Dept. of Environmental Conservation
9108206,11/30/19,15:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,25.0,New York Dept. of Environmental Conservation
9108227,11/30/19,15:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,0.9,New York Dept. of Environmental Conservation
9108228,11/30/19,15:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,2.3,New York Dept. of Environmental Conservation
9108232,11/30/19,15:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,-2.5,New York Dept. of Environmental Conservation
9108233,11/30/19,15:00,360610134,Division Street,-5.0,PM2.5,UG/M3,0.6,New York Dept. of Environmental Conservation
9108242,11/30/19,15:00,360810124,Queens,-5.0,OZONE,PPB,24.0,New York Dept. of Environmental Conservation
9108243,11/30/19,15:00,360810124,Queens,-5.0,PM2.5,UG/M3,4.2,New York Dept. of Environmental Conservation
9108244,11/30/19,15:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,4.6,New York Dept. of Environmental Conservation
9108245,11/30/19,15:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,3.9,New York Dept. of Environmental Conservation
9123047,10/14/19,11:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,10.0,New York Dept. of Environmental Conservation
9123048,10/14/19,11:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,17.0,New York Dept. of Environmental Conservation
9123049,10/14/19,11:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,8.4,New York Dept. of Environmental Conservation
9123050,10/14/19,11:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,16.0,New York Dept. of Environmental Conservation
9123072,10/14/19,11:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,6.3,New York Dept. of Environmental Conservation
9123073,10/14/19,11:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,5.4,New York Dept. of Environmental Conservation
9123077,10/14/19,11:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,8.4,New York Dept. of Environmental Conservation
9123078,10/14/19,11:00,360610134,Division Street,-5.0,PM2.5,UG/M3,6.1,New York Dept. of Environmental Conservation
9123079,10/14/19,11:00,360610135,CCNY,-5.0,OZONE,PPB,7.0,New York Dept. of Environmental Conservation
9123080,10/14/19,11:00,360610135,CCNY,-5.0,PM2.5,UG/M3,7.8,New York Dept. of Environmental Conservation
9123089,10/14/19,11:00,360810124,Queens,-5.0,OZONE,PPB,20.0,New York Dept. of Environmental Conservation
9123090,10/14/19,11:00,360810124,Queens,-5.0,PM2.5,UG/M3,4.9,New York Dept. of Environmental Conservation
9123091,10/14/19,11:00,360850111,Fresh Kills,-5.0,OZONE,PPB,22.0,New York Dept. of Environmental Conservation
9123092,10/14/19,11:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,5.5,New York Dept. of Environmental Conservation
9137396,11/16/19,02:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,19.0,New York Dept. of Environmental Conservation
9137397,11/16/19,02:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,18.0,New York Dept. of Environmental Conservation
9137398,11/16/19,02:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,9.2,New York Dept. of Environmental Conservation
9137399,11/16/19,02:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,24.0,New York Dept. of Environmental Conservation
9137420,11/16/19,02:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,6.0,New York Dept. of Environmental Conservation
9137421,11/16/19,02:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,8.5,New York Dept. of Environmental Conservation
9137425,11/16/19,02:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,10.5,New York Dept. of Environmental Conservation
9137426,11/16/19,02:00,360610134,Division Street,-5.0,PM2.5,UG/M3,11.0,New York Dept. of Environmental Conservation
9137427,11/16/19,02:00,360610135,CCNY,-5.0,OZONE,PPB,22.0,New York Dept. of Environmental Conservation
9137428,11/16/19,02:00,360610135,CCNY,-5.0,PM2.5,UG/M3,7.8,New York Dept. of Environmental Conservation
9137437,11/16/19,02:00,360810124,Queens,-5.0,OZONE,PPB,24.0,New York Dept. of Environmental Conservation
