,DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
78,2018-02-13 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,11,1,Good
79,2018-05-12 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,44,1,Good
80,2018-05-12 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,28,1,Good
81,2018-07-28 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,126,3,Unhealthy for Sensitive Groups
82,2018-07-28 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,46,1,Good
83,2019-06-18 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,42,1,Good
84,2019-06-18 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,51,2,Moderate
85,2019-06-18 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,16,1,Good
86,2018-07-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,112,3,Unhealthy for Sensitive Groups
87,2018-07-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,29,1,Good
88,2018-07-30 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,41,1,Good
89,2018-07-30 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,36,1,Good
90,2018-09-28 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,10,1,Good
91,2018-01-15 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,32,1,Good
92,2018-01-15 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,45,1,Good
93,2018-01-15 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,10,1,Good
94,2019-07-30 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,105,3,Unhealthy for Sensitive Groups
95,2019-07-30 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,91,2,Moderate
96,2019-07-30 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,29,1,Good
97,2019-06-28 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,136,3,Unhealthy for Sensitive Groups
98,2019-06-28 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,38,1,Good
99,2019-06-28 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,18,1,Good
100,2019-08-28 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,29,1,Good
101,2019-08-28 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,18,1,Good
102,2019-08-28 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,12,1,Good
103,2018-11-28 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,23,1,Good
104,2018-11-28 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,25,1,Good
105,2018-11-28 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,5,1,Good
106,2018-07-25 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,27,1,Good
107,2018-07-25 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,15,1,Good
108,2018-02-25 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,28,1,Good
109,2018-02-25 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,31,1,Good
110,2019-01-13 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,33,1,Good
111,2019-01-13 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,37,1,Good
112,2019-01-13 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,12,1,Good
113,2018-10-25 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,29,1,Good
114,2018-10-25 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,17,1,Good
115,2018-12-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,25,1,Good
116,2018-12-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,48,1,Good
117,2018-12-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,14,1,Good
118,2018-10-17 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,18,1,Good
119,2019-09-03 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,50,1,Good
120,2019-09-03 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,34,1,Good
121,2019-09-03 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,13,1,Good
122,2018-04-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,41,1,Good
123,2018-04-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,28,1,Good
124,2019-10-12 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,28,1,Good
125,2019-10-12 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,22,1,Good
126,2019-10-12 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,11,1,Good
127,2018-09-30 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,14,1,Good
128,2018-03-21 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,39,1,Good
129,2018-03-21 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,27,1,Good
130,2018-04-14 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,67,2,Moderate
131,2018-04-14 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,61,2,Moderate
132,2019-09-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,30,1,Good
133,2019-09-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,11,1,Good
134,2019-09-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,10,1,Good
135,2019-12-02 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,35,1,Good
136,2019-12-02 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,18,1,Good
137,2019-12-02 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,7,1,Good
138,2019-10-26 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,32,1,Good
139,2019-10-26 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,28,1,Good
140,2019-10-26 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,13,1,Good
141,2018-03-22 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,44,1,Good
142,2018-03-22 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,26,1,Good
143,2019-07-17 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,101,3,Unhealthy for Sensitive Groups
144,2019-07-17 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,57,2,Moderate
145,2019-07-17 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,25,1,Good
146,2019-12-04 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,11,1,Good
147,2019-12-04 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,47,1,Good
148,2019-12-04 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,19,1,Good
149,2019-08-31 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,46,1,Good
150,2019-08-31 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,21,1,Good
151,2019-08-31 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,12,1,Good
152,2018-02-08 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,37,1,Good
153,2018-02-08 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,53,2,Moderate
154,2018-02-08 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,8,1,Good
155,2019-11-11 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,24,1,Good
156,2019-11-11 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,63,2,Moderate
157,2019-11-11 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,33,1,Good
158,2018-02-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,30,1,Good
159,2018-02-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,61,2,Moderate
160,2018-02-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,20,1,Good
161,2019-11-28 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,28,1,Good
162,2019-11-28 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,23,1,Good
163,2019-11-28 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,5,1,Good
164,2019-12-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,20,1,Good
165,2019-12-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,33,1,Good
166,2019-12-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,11,1,Good
167,2018-03-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,44,1,Good
168,2018-03-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,22,1,Good
169,2018-06-12 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,48,1,Good
170,2018-06-12 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,18,1,Good
171,2019-10-31 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,31,1,Good
172,2019-10-31 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,23,1,Good
173,2019-10-31 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,20,1,Good
174,2018-04-10 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,42,1,Good
175,2018-04-10 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,51,2,Moderate
176,2018-10-05 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,13,1,Good
177,2018-03-20 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,38,1,Good
178,2018-03-20 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,25,1,Good
179,2019-06-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,54,2,Moderate
180,2019-06-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,48,1,Good
181,2019-06-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,16,1,Good
182,2019-08-25 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,27,1,Good
183,2019-08-25 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,10,1,Good
184,2019-08-25 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,10,1,Good
185,2018-07-14 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,80,2,Moderate
186,2018-07-14 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,40,1,Good
187,2019-07-29 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,101,3,Unhealthy for Sensitive Groups
188,2019-07-29 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,78,2,Moderate
189,2019-07-29 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,24,1,Good
190,2019-09-26 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,41,1,Good
191,2019-09-26 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,36,1,Good
192,2019-09-26 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,20,1,Good
193,2019-12-11 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,29,1,Good
194,2019-12-11 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,29,1,Good
195,2019-12-11 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,12,1,Good
196,2018-12-07 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,28,1,Good
197,2018-12-07 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,37,1,Good
198,2018-12-07 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,11,1,Good
199,2018-10-16 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,8,1,Good
200,2019-11-23 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,32,1,Good
201,2019-11-23 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,22,1,Good
202,2019-11-23 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,11,1,Good
203,2018-07-29 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,44,1,Good
204,2018-07-29 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,26,1,Good
205,2019-01-28 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,35,1,Good
206,2019-01-28 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,43,1,Good
207,2019-01-28 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,14,1,Good
208,2018-02-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,22,1,Good
209,2018-02-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,46,1,Good
210,2019-10-22 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,27,1,Good
211,2019-10-22 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,26,1,Good
212,2019-10-22 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,11,1,Good
213,2019-08-04 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,61,2,Moderate
214,2019-08-04 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,30,1,Good
215,2019-08-04 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,13,1,Good
216,2018-12-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,26,1,Good
217,2018-12-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,49,1,Good
218,2018-12-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,16,1,Good
219,2018-04-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,50,1,Good
220,2018-04-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,27,1,Good
